Регион №, Регион, Город №, Город, Комплектация, Цвет
1, Республика Адыгея, 938185, Майкоп, 1.6 л 16-кл. (106 л.с.) 5МТ / #CLUB специальная серия / ПТС 2020 г., Борнео
1, Республика Адыгея, 938185, Майкоп, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Борнео
1, Республика Адыгея, 938185, Майкоп, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Пантера
1, Республика Адыгея, 938185, Майкоп, 1.6 л 16-кл. (98 л.с.) 4АТ / Comfort / ПТС 2020 г., Белое облако
1, Республика Адыгея, 938185, Майкоп, 1.6 л 16-кл. (98 л.с.) 4АТ / Comfort / ПТС 2020 г., Борнео
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 16-кл. (106 л.с.) 5МТ / Luxe / Prestige / ПТС 2020 г., Кориандр
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 16-кл. (98 л.с.) 4АТ / Comfort / ПТС 2020 г., Белое облако
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / #CLUB специальная серия / ПТС 2020 г., Пантера
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / #CLUB специальная серия / ПТС 2020 г., Сердолик
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / Optima / ПТС 2020 г., Кориандр
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / ПТС 2020 г., Голубая планета
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Comfort / ПТС 2020 г., Борнео
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Comfort / ПТС 2020 г., Пантера
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Luxe / ПТС 2020 г., Рислинг
10, Республика Карелия, 938275, Петрозаводск, 1.6 л 8-кл. (87 л.с.) 5МТ / Standard / ПТС 2020 г., Пантера
11, Республика Коми, 938239, Сыктывкар, 1.6 л 16-кл. (98 л.с.) 4АТ / Comfort / ПТС 2020 г., Кориандр
11, Республика Коми, 938239, Сыктывкар, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / Optima / ПТС 2020 г., Кориандр
11, Республика Коми, 938239, Сыктывкар, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / ПТС 2020 г., Белое облако
11, Республика Коми, 938239, Сыктывкар, 1.6 л 8-кл. (87 л.с.) 5МТ / Standard / ПТС 2020 г., Голубая планета
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Белое облако
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Борнео
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Кориандр
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Пантера
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Comfort / ПТС 2020 г., Техно
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Luxe / ПТС 2020 г., Белое облако
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 16-кл. (106 л.с.) 5МТ / Luxe / ПТС 2020 г., Кориандр
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 8-кл. (87 л.с.) 5МТ / #CLUB специальная серия / ПТС 2020 г., Борнео
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / Optima / ПТС 2020 г., Белое облако
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / Optima / ПТС 2020 г., Борнео
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.6 л 8-кл. (87 л.с.) 5МТ / Classic / Optima / ПТС 2020 г., Сердолик
