Регион №, Регион, Город №, Город, Комплектация, Цвет
1, Республика Адыгея, 938185, Майкоп, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Айсберг
1, Республика Адыгея, 938185, Майкоп, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Снежная королева
1, Республика Адыгея, 938185, Майкоп, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Кварц
1, Республика Адыгея, 938185, Майкоп, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Снежная королева
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Амазония
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Борнео
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Черное зеркало
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort Off-road / ПТС 2021 г., Амазония
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Амазония
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Борнео
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Снежная королева
10, Республика Карелия, 938275, Петрозаводск, 1.7 л 8 кл. (80 л.с.) 5МТ / Luxe / ПТС 2021 г., Феерия
11, Республика Коми, 938239, Сыктывкар, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Айсберг
11, Республика Коми, 938239, Сыктывкар, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Феерия
11, Республика Коми, 938239, Сыктывкар, 1.7 л 8 кл. (80 л.с.) 5МТ / Luxe / ПТС 2021 г., Айсберг
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Айсберг
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.7 л 8 кл. (80 л.с.) 5МТ / Classic / ПТС 2021 г., Черное зеркало
12, Республика Марий Эл, 938155, Йошкар-Ола, 1.7 л 8 кл. (80 л.с.) 5МТ / Comfort / ПТС 2021 г., Айсберг
